                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2716,                 1.8208,                 1.6376,                0.78383,                0.52643,                0.58895,                0.20881,                 2.1714,                 2.0391,                 1.5762,              0.0015644,              0.0015644,              0.0015644
                     36,                   2.33,                 1.9044,                 1.6626,                0.03258,                 0.1129,                0.00826,                0.00199,                 3.5487,                 5.1831,                 2.3768,              0.0015512,              0.0015512,              0.0015512
                     37,                 2.3984,                 1.8804,                 1.6687,                0.01087,                0.01613,                0.01085,                0.00173,                 4.0783,                 6.8359,                  2.932,               0.001538,               0.001538,               0.001538
                     38,                 2.3163,                 1.7775,                  1.643,                0.29221,                0.27419,                0.22679,                0.06178,                 2.8041,                 2.3341,                 1.8248,              0.0015248,              0.0015248,              0.0015248
                     39,                 2.2675,                 1.8322,                 1.6182,                0.36067,                0.17742,                0.16584,                0.04068,                 2.9088,                  2.758,                 1.8965,              0.0015116,              0.0015116,              0.0015116
                     40,                 2.2351,                 1.7797,                 1.5938,                0.71582,                0.53226,                0.56636,                 0.2492,                 2.2767,                 1.9309,                 1.5951,              0.0014984,              0.0014984,              0.0014984
                     41,                 2.2848,                 1.7504,                 1.5676,                0.22808,                0.09677,                0.07779,                0.02555,                 3.2765,                 6.0732,                  2.165,              0.0014852,              0.0014852,              0.0014852
                     42,                 2.1989,                 1.7712,                 1.6113,                 0.6634,                0.51613,                0.48367,                0.22061,                 2.1284,                 3.4116,                 1.5689,               0.001472,               0.001472,               0.001472
                     43,                  2.193,                 1.6453,                 1.5603,                0.74358,                0.53226,                 0.5567,                0.19648,                  2.196,                 3.7536,                 1.5877,              0.0014588,              0.0014588,              0.0014588
                     44,                 2.2783,                 1.7516,                 1.5973,                0.46963,                0.06452,                0.08581,                0.03245,                 2.4883,                 5.4305,                 1.7667,              0.0014456,              0.0014456,              0.0014456
                     45,                 2.2476,                 1.7881,                 1.6262,                0.58409,                0.33979,                0.39044,                0.14369,                 2.5349,                 2.5257,                 1.7455,              0.0014324,              0.0014324,              0.0014324
                     46,                 2.3796,                  1.835,                 1.6289,                0.01529,                0.16129,                0.01098,                0.00269,                 3.7048,                 3.7649,                 2.3013,              0.0014192,              0.0014192,              0.0014192
                     47,                 2.2833,                 1.7978,                 1.6289,                0.15011,                0.06452,                0.03493,                  0.007,                 3.5105,                 3.5306,                 2.1917,               0.001406,               0.001406,               0.001406
                     48,                 2.1912,                 1.7521,                 1.6104,                0.07045,                0.04839,                0.01931,                0.00636,                 3.4476,                 3.7834,                 2.0877,              0.0013928,              0.0013928,              0.0013928
                     49,                 2.1492,                 1.6069,                 1.5352,                0.09464,                0.06452,                0.01963,                0.00454,                 3.6341,                 4.0207,                 2.1695,              0.0013796,              0.0013796,              0.0013796
                     50,                  2.266,                 1.7488,                 1.6053,                0.08728,                 0.1129,                0.02308,                0.00525,                 3.3501,                 4.2266,                  2.183,              0.0013664,              0.0013664,              0.0013664
                     51,                 2.1692,                 1.7663,                 1.6536,                0.14927,                0.12903,                0.03422,                0.00961,                 3.3592,                 3.7672,                 2.2846,              0.0013532,              0.0013532,              0.0013532
                     52,                 2.3387,                 1.8454,                 1.7168,                0.51565,                 0.3871,                0.41901,                0.16912,                 2.3822,                  1.868,                 1.6647,                0.00134,                0.00134,                0.00134
                     53,                 2.2209,                 1.7883,                 1.6594,                0.60355,                    0.5,                0.53486,                  0.232,                 2.1716,                  1.668,                 1.5137,              0.0013268,              0.0013268,              0.0013268
