                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.725,                 2.2723,                 2.3546,                0.17987,                0.29032,                 0.1157,                0.02775,                 2.6739,                 3.5951,                 2.2881,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.6579,                 2.2353,                 2.3058,                0.21563,                0.33871,                0.15156,                0.03713,                 2.6847,                 3.4079,                 2.3238,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.6252,                 2.3474,                 2.2841,                0.19767,                0.16129,                0.10445,                0.02702,                 2.7232,                 3.0272,                 2.2789,               0.001307,               0.001307,               0.001307
                     38,                 2.5922,                 2.2048,                 2.2514,                0.08122,                0.24194,                0.04761,                0.01325,                 2.6212,                 3.5296,                  2.261,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.6159,                 2.2071,                 2.3149,                0.21439,                0.33871,                0.14095,                 0.0475,                 2.6288,                  3.195,                 2.2431,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.5644,                 2.1524,                 2.2049,                0.22377,                0.14516,                 0.0833,                0.02295,                 2.7171,                 3.5703,                 2.3421,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.5964,                 2.1209,                 2.1972,                0.17867,                0.25806,                0.13572,                0.03983,                 2.4999,                 3.0615,                 2.2497,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.6518,                 2.2132,                 2.3725,                0.61044,                0.35484,                0.42683,                  0.148,                 2.3133,                  2.486,                 2.1079,               0.001208,               0.001208,               0.001208
                     43,                 2.5769,                 2.0578,                 2.2195,                0.60543,                0.45161,                0.50373,                0.21937,                 2.2432,                 2.0888,                 2.0547,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.5731,                 2.1396,                 2.2424,                0.16564,                0.22581,                0.09874,                0.03028,                 2.6245,                 2.7751,                 2.3097,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.5532,                 2.0896,                 2.2218,                0.27577,                0.32258,                0.20093,                0.07585,                 2.4765,                 2.3706,                 2.2384,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.6261,                 2.1411,                  2.181,                 0.3936,                0.48387,                 0.3481,                 0.1279,                 2.3983,                  2.216,                 2.1646,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.5185,                 2.1287,                 2.1599,                0.28428,                0.25806,                0.19557,                0.06906,                 2.4925,                 2.5168,                 2.2367,               0.001109,               0.001109,               0.001109
                     48,                 2.5508,                 2.1347,                 2.2173,                0.69539,                0.48387,                0.50934,                0.22583,                 2.3909,                 1.9919,                 2.1248,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.4373,                 2.0152,                 2.1133,                0.66086,                    0.5,                 0.5001,                0.19986,                 2.3106,                 1.9729,                 2.0983,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.4726,                 2.1279,                 2.1506,                0.17484,                0.25806,                0.11556,                0.03435,                 2.6338,                 2.9362,                 2.3354,              0.0010496,              0.0010496,              0.0010496
                     51,                  2.501,                  2.103,                 2.2435,                0.43649,                 0.3871,                0.36174,                0.13432,                 2.3817,                 2.1652,                 2.1691,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.4932,                 2.1723,                 2.2448,                0.63416,                    0.5,                0.47521,                0.16307,                  2.379,                 2.3003,                 2.1641,                0.00101,                0.00101,                0.00101
                     53,                 2.4457,                 2.1079,                 2.1707,                0.66703,                0.41935,                0.46198,                0.17847,                 2.2184,                 1.9427,                 2.0787,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.3535,                 2.0271,                 2.1146,                0.37009,                 0.3871,                0.33593,                 0.1149,                  2.334,                 2.1468,                 2.1349,              0.0009704,              0.0009704,              0.0009704
