                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.7798,                 4.3135,                 1.7791,                0.00696,                0.12008,                0.02104,                0.01219,                 1.8662,                 3.9257,                 1.8596,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                 1.7596,                 4.2271,                 1.7539,                0.54508,                0.01952,                0.02158,                0.01252,                 1.8559,                 3.9206,                 1.8538,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 1.7493,                 4.2865,                 1.7904,                0.57422,                0.01823,                0.02405,                0.01384,                 1.8452,                 3.9033,                 1.8467,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 1.7445,                 4.2333,                 1.7728,                0.56391,                0.02084,                 0.0259,                0.01439,                 1.8423,                 3.8906,                 1.8472,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                 1.7227,                 4.2987,                 1.7461,                0.56473,                0.02224,                0.02733,                  0.015,                 1.8345,                 3.8736,                 1.8432,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                 1.7802,                 4.2951,                 1.8038,                0.56614,                0.02279,                 0.0277,                0.01516,                 1.8223,                 3.8516,                 1.8367,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 1.7802,                 4.1449,                 1.7603,                0.55317,                0.02371,                0.02946,                0.01614,                 1.8085,                 3.8273,                 1.8287,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                  1.725,                 4.2136,                 1.7459,                0.54036,                0.02257,                0.02923,                0.01637,                 1.7988,                 3.8162,                 1.8195,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                 1.6652,                 4.0824,                 1.6991,                0.55189,                0.02169,                0.03075,                0.01742,                 1.7912,                 3.7936,                 1.8115,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                 1.6853,                 4.1339,                 1.7357,                0.55456,                0.02325,                 0.0323,                0.01828,                 1.7851,                 3.7793,                  1.808,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                 1.7603,                 4.1044,                 1.7325,                0.61313,                0.02417,                  0.034,                0.01941,                 1.7841,                 3.7598,                 1.8045,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                 1.7186,                 4.0745,                 1.7494,                0.61512,                0.02727,                0.03762,                0.02038,                 1.7856,                  3.737,                 1.8017,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                 1.7525,                 4.0892,                 1.7434,                0.61321,                0.02806,                0.03839,                0.02165,                 1.7833,                 3.7126,                 1.7995,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                  1.678,                 4.1097,                 1.7202,                0.62141,                0.03366,                0.04239,                0.02436,                 1.7815,                 3.6879,                 1.7977,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                 1.6991,                 4.0328,                  1.704,                0.62572,                0.04011,                0.04264,                0.02457,                  1.779,                 3.6685,                  1.791,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                 1.7195,                 4.0603,                 1.7154,                0.62985,                0.04499,                 0.0424,                0.02465,                 1.7731,                 3.6551,                 1.7833,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                  1.709,                 3.9312,                 1.7147,                0.63397,                0.05507,                0.04373,                0.02568,                 1.7648,                 3.6452,                 1.7766,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                 1.6618,                  4.038,                 1.6922,                0.63418,                  0.055,                 0.0448,                0.02704,                 1.7665,                 3.6299,                 1.7757,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                 1.7024,                 3.9412,                 1.6923,                0.61753,                0.05242,                0.04732,                 0.0291,                 1.7613,                 3.6105,                 1.7713,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                 1.6912,                 3.9904,                 1.7214,                0.63016,                0.05178,                0.04864,                0.02985,                 1.7514,                 3.5932,                 1.7648,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                 1.6738,                 3.9701,                 1.6711,                0.64781,                0.05187,                0.05015,                 0.0308,                 1.7422,                 3.5746,                 1.7603,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                 1.7578,                 3.9979,                 1.7308,                 0.6935,                0.04725,                0.05077,                0.03117,                 1.7353,                 3.5574,                 1.7564,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                 1.6233,                 3.8994,                 1.6579,                0.69589,                0.04783,                  0.053,                0.03241,                 1.7332,                 3.5438,                 1.7506,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                 1.6445,                 3.9486,                 1.6662,                0.70791,                0.04972,                0.05241,                0.03289,                 1.7319,                 3.5213,                 1.7479,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                 1.6767,                 3.9043,                 1.7434,                0.70916,                0.05388,                0.05439,                0.03364,                 1.7238,                 3.5045,                 1.7412,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                 1.6779,                 3.8577,                 1.6704,                0.71126,                0.05372,                0.05511,                0.03411,                  1.716,                 3.4923,                 1.7352,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                 1.6664,                 3.7624,                 1.6519,                0.71585,                0.05339,                0.05633,                0.03507,                 1.7131,                 3.4839,                  1.734,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                 1.6625,                 3.9249,                 1.6811,                0.72279,                0.05393,                0.05718,                0.03574,                 1.7074,                 3.4682,                   1.73,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                 1.6086,                 3.8557,                 1.6967,                0.72364,                0.05508,                0.05808,                0.03621,                 1.7023,                 3.4528,                 1.7258,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                 1.7058,                  3.838,                 1.6925,                0.70309,                0.05514,                0.05908,                0.03695,                 1.7024,                 3.4319,                 1.7241,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                 1.6215,                 3.7325,                  1.656,                0.70908,                0.05516,                0.06054,                0.03785,                 1.7013,                  3.425,                 1.7234,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                 1.6743,                 3.8719,                  1.676,                0.70356,                0.05584,                0.06069,                0.03784,                 1.6949,                 3.4095,                 1.7193,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                 1.6611,                 3.8005,                 1.6443,                0.68534,                0.05841,                0.06027,                0.03798,                 1.6856,                 3.4032,                 1.7136,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                 1.6285,                 3.8006,                 1.6513,                0.65172,                0.05797,                0.06161,                0.03879,                 1.6768,                 3.3951,                 1.7077,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                  1.661,                 3.8554,                 1.6963,                0.60239,                0.05997,                0.06177,                0.03918,                 1.6693,                 3.3757,                 1.7025,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                 1.6435,                 3.7231,                 1.6857,                0.62948,                0.06047,                0.06412,                 0.0405,                 1.6647,                 3.3584,                 1.7003,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                 1.6836,                  3.796,                 1.6677,                 0.6203,                0.06347,                0.06528,                0.04108,                 1.6601,                  3.344,                 1.6966,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                 1.5656,                 3.7804,                 1.6418,                0.64618,                0.06321,                0.06655,                0.04175,                 1.6558,                 3.3358,                 1.6917,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                 1.6661,                 3.7649,                 1.6731,                0.64823,                0.06332,                0.06827,                0.04264,                 1.6546,                 3.3223,                 1.6896,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                 1.6103,                 3.6619,                 1.6331,                0.67025,                0.06219,                0.06899,                0.04333,                 1.6549,                 3.3068,                 1.6882,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                 1.5997,                 3.6899,                 1.6696,                 0.7007,                0.06384,                0.07165,                0.04503,                 1.6526,                 3.3016,                 1.6862,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                  1.615,                 3.7317,                 1.6748,                0.71608,                0.06651,                0.07426,                0.04703,                 1.6497,                 3.2951,                 1.6854,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                 1.6186,                 3.7407,                 1.6242,                0.71685,                0.06667,                0.07466,                0.04731,                 1.6504,                 3.2882,                 1.6873,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                 1.6414,                 3.6997,                 1.6657,                0.72216,                0.06589,                0.07504,                0.04806,                 1.6521,                 3.2846,                 1.6861,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                 1.6161,                 3.5692,                 1.6371,                 0.7278,                0.06506,                0.07691,                0.04901,                 1.6552,                 3.2851,                 1.6879,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                 1.6426,                 3.6639,                 1.6034,                0.71149,                0.06542,                0.07712,                0.04921,                 1.6563,                 3.2778,                  1.688,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                 1.6153,                 3.7718,                 1.6281,                0.72592,                0.06385,                0.07765,                0.05036,                 1.6548,                  3.275,                 1.6874,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                 1.5837,                 3.6237,                 1.6394,                 0.7072,                0.07108,                0.07812,                0.05043,                 1.6536,                 3.2668,                  1.685,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                 1.6142,                 3.6896,                 1.6343,                0.72173,                   0.07,                0.07908,                0.05113,                 1.6539,                 3.2559,                 1.6858,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                 1.6339,                 3.5962,                 1.6317,                0.70918,                0.06519,                0.07995,                0.05173,                 1.6512,                  3.247,                 1.6847,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                 1.6239,                 3.6614,                 1.6271,                0.73363,                0.06104,                0.08145,                 0.0529,                 1.6492,                 3.2343,                 1.6826,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                 1.6415,                 3.6198,                 1.6583,                0.72868,                 0.0619,                0.08141,                0.05327,                 1.6446,                 3.2215,                 1.6771,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                 1.5886,                 3.7097,                 1.6343,                0.72929,                0.06329,                0.08229,                0.05349,                 1.6438,                 3.2041,                 1.6768,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                 1.6276,                 3.6734,                 1.6479,                0.70558,                0.06785,                0.08159,                0.05307,                 1.6453,                 3.1998,                 1.6778,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                 1.6079,                 3.6676,                 1.6623,                0.70776,                0.07083,                0.08272,                0.05393,                 1.6431,                 3.1905,                 1.6752,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                 1.6179,                 3.6399,                 1.6589,                0.70872,                0.07017,                0.08319,                0.05403,                 1.6399,                 3.1856,                  1.673,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                 1.5844,                 3.5253,                 1.6075,                0.69213,                0.07055,                0.08548,                0.05607,                 1.6379,                 3.1835,                 1.6732,             1.6505e-05,             1.6505e-05,             1.6505e-05
